company_rating,job_title,job_location,company_industry,company_size,company_type,company_sector,company_career_opportunities_rating,company_comp_and_benefits_rating,company_culture_and_values_rating,company_work/life_balance_rating,reviews_by_same_job_pros,reviews_by_same_job_cons,employee_benefit_reviews
3.8,"Manager, Customer Success - Enterprise","New York, NY",Computer Hardware Development,501 to 1000 Employees,Company - Private,Information Technology,3.6,3.3,3.8,3.7,"[""Culture at Yotpo is amazing"",""Work/life balance was nice, I was never asked to work after normal hours or on weekends like alot of tech companies"",""Amazing people to work with, great product"",""Good management"",""Strong product and good leadership.""]","[""Unsafe culture."",""No work life balance."",""lovely people but felt a bit clicky"",""Management is not trustworthy."",""Further leadership was not trustworthy.""]","[""Benefits are solid, also have free lunch twice a week too...not amazing but good"",""Good options but limited in terms of offering"",""They hire good people at Yotpo""]"
3.3,Business Intelligence Analyst,"Rochester, NY",Consumer Product Manufacturing,Unknown,Company - Public,Manufacturing,3,3.3,2.9,3.1,"[""People I worked with were great, they ran the machines into the ground with no preventative maintenance and shut the machines down, thier efficiency is more important to them then machine health"",""LOVE IT ALL good money"",""Innovative environment, family atmosphere, positive growth potential."",""Not a lot of over time and will gain great experience working with all kinds of injection mold machines.""]","[""Management is angry all the time.""]","[""Good Benefits Health Insurance, Vision, Dental, as well as multiple other options available"",""Good benefits and experience training"",""Health insurance was expensive with high deductibles!""]"
3.8,Platform Product Manager,"London, England",Software Development,201 to 500 Employees,Company - Private,Information Technology,3.6,3.7,3.8,4,"[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]","[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
4.2,Product Manager,"London, England",Health Care Services & Hospitals,1001 to 5000 Employees,Company - Public,Healthcare,3.8,4,3.7,4,"[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]","[""The culture is not good""]","[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
3.2,Financial Analyst II - west elm,"New York, NY",Home Furniture & Housewares Stores,1001 to 5000 Employees,Subsidiary or Business Segment,Retail & Wholesale,2.9,2.8,3.1,2.9,"[""$24 hourly pay is competitive within the market, but was reduced from $25/hour during the pandemic."",""Great management and great place to work."",""Good people and company values."",""Benefits are great and the furniture is beautiful."",""The office is beautiful, inside and outside.""]","[""And they would expect you to offer interior design services but with the low pay of a sales associate."",""DON’T COVER MANY THINGS AND HUGE OUT OF POCKET PREMIUMS CONFLICTING DIRECTIONS DUE TO POOR MANAGEMENT Avoid this company and Williams"",""Not people friendly, promote wrong people"",""No benefits for part time.""]","[""nothing. the job and perks were awesome"",""The employee discount is decent if you're into furniture and decor. At the time it was nearly 50% off. \n"",""Designer discount is nice to have.""]"
3.9,PRN - Program Manager - Emergency Medicine,"Houston, TX",Health Care Services & Hospitals,Unknown,Hospital,Healthcare,3.6,3.8,3.6,3.7,"[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]","[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
3.5,Sales Planning Analyst,"New York, NY",Beauty & Personal Accessories Stores,10000+ Employees,Company - Public,Retail & Wholesale,3.2,3.5,3.4,3.2,"[""Benefit is good and work atmosphere and colleague is good"",""I guess I could say the salary is good and the staff discount is too""]","[""bad management, no structure, cheaters in the game"",""This company offer absolutely no benefits for Full time workers."",""The upper management was useless."",""Good salary good discount for employees"",""Long busy hours during holidays, no weekends off unless booked for holiday, a lot expected for the salary""]","[""Best insurance benefits Ive ever had. "",""Best thing is the discount in the jewelry i work for corporate and the discount is HUGE!! You get items for less than $20 which is awesome "",""401k, paid time off, jewelry discount, health insurance""]"
3.8,Software Developer,"Redwood City, CA",Enterprise Software & Network Solutions,10000+ Employees,Company - Public,Information Technology,3.6,3.4,3.7,4,"[""flexible and good work life balance"",""Good Salary and chill environment"",""Good work culture and policies"",""Good benefits and leave policy"",""good management and team.""]","[""You get too much work life balance and no learning"",""Salary is low and performance is not rewarded"",""bad work culture"",""Less benefits are received."",""bad management forcing return to office""]","[""good perks, benefits in line with market, stock purchasing"",""Good average food nice !"",""Employees pay low cost for health benefits. ""]"
3.7,Operations Data Analyst (VP),"New York, NY",Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
3.8,Platform Product Manager,"London, England",Software Development,201 to 500 Employees,Company - Private,Information Technology,3.6,3.7,3.8,4,"[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]","[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
3.7,Program Manager - LTC Ramsey County,"West Saint Paul, MN",Health Care Services & Hospitals,501 to 1000 Employees,Company - Private,Healthcare,3.6,2.9,3.9,4,"[""Love my job and get to help people."",""Generous PTO"",""Direct support and management personnel, for the most part, try their best.""]","[""Benefits are expensive and increasing"",""Leadership is clueless as to what we do, how hard it is, and what our actual hourly rate is due to the incredibly long hours we always have to work.""]","[""work from home option after 6 months of employment"",""Worst thing: NO contribution to the company profit sharing 401K plan in over 5 years or more. Non-competitive wages &amp; salaries comparative to other providers in the industry - we are one of the lowest paying employers in the industry. Yet, based on the reorganization of existing and addition of new senior director and finance dept. leadership positions (very top heavy \""senior leadership!\"") there clearly is profit being made for the owners."",""Horrible training. They are honestly just for the billable time and the money they get back.""]"
3.7,"Senior Manager, Global Product Line Management","Fountain Valley, CA",Transportation Equipment Manufacturing,1001 to 5000 Employees,Company - Public,Manufacturing,3.8,4,3.6,2.9,"[""I work with fantastic people."",""Amazing culture, super nice and supportive team, great pay, great benefits, tons of perks, flexible WFH schedule."",""Nice cafeteria, clean environment, and good teammates and management.""]","[""Not much benefit for contractors"",""Not much learning opportunities and mixed working culture.""]","[""Good benefit with health insurance"",""From onboarding to exit interviews, HR has a logical process in place to educate and inform of important details"",""Company offers allowance to lease Hyundai's vehicle. \nAllowance has different amount by position hierarchy.\nVery enjoyable and possible to change car every year. ""]"
3.8,Institutional Equity Research Sales Analyst / Associate,"New York, NY",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.8,3.8,3.5,3.1,"[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]","[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
3.7,"Research Associate, Controlled Environment","Durham, NC",Crop Production,51 to 200 Employees,Company - Private,Agriculture,3.5,4.5,4.1,3.7,"[""Great people to work with"",""They offered generous paternal and maternal leave when I worked there, but I believe it has been limited since then."",""Uncapped pto, great management, minimal stress""]","[""The scientists and associates were overworked and visibly stressed."",""The bonuses received only covered a fraction of the overtime/weekend work I was required to do.""]","[""Pairwise has a pretty flexible work schedule"",""Reasonable rates for benefits \nNo 401k match"",""No 401K match. Not unlimited FTO as reported in other reviews. It is an odd hybrid system. I guess they are saving resources by not tracking days and covering PTO. It is made clear that taking over 2 weeks off is frowned upon: need leadership approval. ""]"
3.8,Senior Software Engineer - Developer Tools,"Los Angeles, CA",Enterprise Software & Network Solutions,1001 to 5000 Employees,Company - Private,Information Technology,3.7,3.7,3.8,3.7,"[""good benefits"",""Competent Colleagues"",""Great growth and culture in the company"",""Decent Salary"",""Nice &amp; beautiful office""]","[""Less benefits compared to the rest of the competition ."",""cult like culture"",""The Salary isn't great at all.""]","[""401k, unlimited vacation \nLimited health insurance "",""truly spectacular paternity leave benefits"",""Medical insurance could be better for families, otherwise, pretty good perks""]"
3.2,Principal Data Scientist - Supply Chain Optimization,"Houston, TX",Computer Hardware Development,1001 to 5000 Employees,Company - Public,Information Technology,3.3,2.9,3.2,3.6,"[""Good Networking and Learning experience"",""Great people to work with &amp; excellent benefits""]","[""low compensation relative to the position"",""Unclear expectations by management."",""Competitive culture.""]","[""normal benefits package, good for start"",""Good health benefits. Vacation does not increase until you are here a decade. "",""Decent benefits, standard time off ""]"
3.9,Senior Program Manager - Hemophilia Program,"Houston, TX",Health Care Services & Hospitals,Unknown,Hospital,Healthcare,3.6,3.8,3.6,3.7,"[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]","[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
4.3,Senior Reporting & Data Analyst,"Ithaca, NY",Colleges & Universities,10000+ Employees,College / University,Education,4.1,4,4.2,4,"[""Good pay, decent work life balance"",""Good research environment and benefits for staff"",""great people, views, resources, overall great"",""Not too stressful with flexible hours"",""Ample resources and opportunities.""]","[""Low Pay compaired to other universities"",""Isolated town, long dark winters, unreasonable working expectations, few benefits, little support"",""long hours with long commute"",""Supervisor disrespected me and limited opportunities for career growth.""]","[""Fertility benefits are amazing. Paid barely anything for IVF and other fertility related treatment. Aetna insurance. 22 weeks of parental leave once baby is here. Plus 4 weeks of leave prior to birth. "",""good stipend, housing, meal, travel reimbursement"",""Best: Premier Insurance, 2 weeks of annual paid leave\nWorst: Lower than industry salary""]"
3.6,Business Analyst - Treasury,"New York, NY",Investment & Asset Management,5001 to 10000 Employees,Company - Private,Financial Services,3.2,3.7,3.1,3,"[""Long hours."",""Good pay"",""Working with knowledgeable and sharp colleagues"",""I was given alot of autonomy to make decisions and engage in special projects that allowed me to grow my career."",""good medical benefits, nice working environment.""]","[""Long hours for supporting older systems.""]","[""The best part is 401k."",""The best part is 401k."",""Regular benefits. Health insurance is not 100% covered""]"
3.7,Operations Data Analyst (VP),United States,Investment & Asset Management,10000+ Employees,Company - Public,Financial Services,3.7,3.7,3.6,3.5,"[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
4.2,Product Manager,"London, England",Health Care Services & Hospitals,1001 to 5000 Employees,Company - Public,Healthcare,3.8,4,3.7,4,"[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]","[""The culture is not good""]","[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
3.8,Platform Product Manager,"London, England",Software Development,201 to 500 Employees,Company - Private,Information Technology,3.6,3.7,3.8,4,"[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]","[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
4.2,"Product Manager, Content Operations Data","Los Gatos, CA",Internet & Web Services,5001 to 10000 Employees,Company - Public,Information Technology,3.8,4.5,4.1,3.7,"[""The pay was good for entry level"",""Good benefits."",""Amazing culture and very diverse."",""Pays well, good people to work with"",""Good leadership""]","[""Pay is not good for position level"",""no benefits, overheads by company"",""NETFLIX culture seems amazing and friendly on the surface, but it's actually a little mean and cloaked in \""NETFLIX speech\"" and comportment."",""Failed keeping young and smart people."",""Senior leadership has so little work to do that they cause chaos and micromanage in order to justify their million dollar salaries.""]","[""The benefits for health were amazing. "",""Incredibly comprehensive and supportive of me as a whole person"",""good experience as an intern""]"
3.9,Analyst Aide Temp Coops - College Students (Business Majors),"New York, NY",Energy & Utilities,10000+ Employees,Company - Public,"Energy, Mining & Utilities",3.9,3.9,3.6,3.7,"[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]","[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
3.4,"Analyst, Data Operations-Sg2","Chicago, IL",Health Care Services & Hospitals,1001 to 5000 Employees,Company - Private,Healthcare,3.3,3.7,3.4,3.6,"[""Work life balance is great"",""Good people to work with"",""25 days of PTO."",""Great values, generous PTO, laid back managers, brilliant colleagues."",""Good culture.""]","[""No work life balance at all"",""My manager was very inexperienced and at times rude."",""Toxic culture.""]","[""Lots of PTO and affordable healthcare"",""The vacation benefits are great."",""Great benefits!  Amazing PTO and ability to volunteer 5 days a year!!!""]"
3.5,"IT Clinical Manager - Clinical Systems Manager - Walnut Creek, CA","Walnut Creek, CA",Health Care Services & Hospitals,10000+ Employees,Company - Public,Healthcare,3.4,3.4,3.5,3.7,"[""Good work life balance and"",""Great benefits and flexibility with schedule."",""The pay is good."",""People are great"",""Good Management and good place to work""]","[""Work life balance is difficult at times"",""Benefits are average; hard to recruit and retain top performers"",""Can be low pay."",""Always churning and laying people off"",""Could have better management and organization.""]","[""Stock options, health insurance, discounts "",""Sign-on bonus is good but 3-year contract is too long."",""The pto package is really well. 28 days based on salary grade and length of service.""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
3.8,Platform Product Manager,"London, England",Software Development,201 to 500 Employees,Company - Private,Information Technology,3.6,3.7,3.8,4,"[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]","[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
3.8,Institutional Equity Research Sales Analyst / Associate,"New York, NY",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.8,3.8,3.5,3.1,"[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]","[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
4.2,Frontend Web Developer,"San Jose, CA",Computer Hardware Development,10000+ Employees,Company - Public,Information Technology,3.8,4.3,4.2,4.1,"[""Work life balance is good"",""Good benefits overall and nice projects"",""Awesome organization and good culture"",""Good people to work with."",""life balance with good pay and benefits""]","[""No work life balance in India"",""Some managers Will do Some partiality and contracts employees won’t get much benefit"",""Culture depends on team and management."",""Good people"",""Less exposure to the work environment and less pay""]","[""Sabbatical holiday for 1 month every five years"",""The benefits of Adobe are great including ESPP."",""Culture is very good! Would reccomend""]"
3.5,"Product Manager, International","London, England",Investment & Asset Management,1001 to 5000 Employees,Company - Public,Financial Services,3.1,3.9,3.6,3.6,"[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]","[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
3.6,Supply Chain Operations Analyst II,"Buffalo, NY",Shipping & Trucking,10000+ Employees,Company - Private,Transportation & Logistics,3.3,3.3,3.3,3.2,"[""Good people to work with"",""Good management and nice work enviroment with experienced teammates."",""The pay is decent and the work isn't hard work as a supervisor."",""Work life balance is acceptable"",""Great coworkers and average benefits""]","[""Let people run their stations and make money."",""under management and no room for growth"",""Low pay, for a lot of work."",""There is no work life balance."",""no benefits""]","[""Great bene's and current manager takes time to explain and teach."",""Typical benefits package offered by most firms"",""Benefits are really good but can get costly. ""]"
3.4,Software Engineer - Motor Control Software Design,"Burbank, CA",Aerospace & Defense,1001 to 5000 Employees,Subsidiary or Business Segment,Aerospace & Defense,3,2.7,3.1,3.1,"[""Met some great people."",""Management takes an active role in personal development of workers by setting up development plans and investing in training classes."",""A lot of really sharp people and great mentorship and learning opportunities."",""The pay is better than most."",""Decent Benefits.""]","[""Lots of dumb people work here too"",""The management there is awful."",""There is no mentorship or guidance for junior employees on how to chart a career there."",""Below average pay with minimal raises"",""Benefits could be better and inmproved.""]","[""Crane offers benefits befitting similar company. "",""Pretty average corporate benefits package"",""Crane provides 401K matching as well as 8% unmatching contribution.""]"
3.7,Data Analyst College Aide,Manhattan,Municipal Agencies,Unknown,Government,Government & Public Administration,3.7,3.7,3.2,3.5,"["";Great Benefits and good people"",""Good benefits and union job and student loan forgiveness"",""good management and flexible hours no overtime""]","[""Low salary compared to private sector""]","[""Great benefits. Dental and Vision insurance could be better "",""bureaucracy and wait for a long time to get the benefit "",""The pension is great but it's really only worth it if you work for 20+ years.""]"
