reviews_by_same_job_cons,reviews_by_same_job_pros,company_benefits_employer_summary,employee_benefit_reviews
"[""The benefits are good, but if you struggle with keeping a positive mood, this job can be exhausting."",""Pay is low and depends in what location you’re at in order to hit goals."",""No work life balance and a lot of late nights"",""Poor Management communication when it comes to managers sitting in one location managing people in other locations"",""Toxic culture""]","[""The benefits are great and start less than 30 days after hire date."",""\""The pay is good and is higher than similar telephone sales jobs in the area.\"""",""good work life balance and learning is good"",""Management was good."",""Great WLB and culture""]",,"[""good benefits, generous amount of vacation time for new hires, 401k, perks out side of work."",""Great benefits package as is expected from a company this size. Industry standard across bulge bracket banks\n"",""Best is that they offer them. Worst is the cost ""]"
"[""low salary and and and"",""Awful management, to avoid totally this company."",""Isolated from European colleagues and flat structure"",""Alot of dependency on you because of smaller size, and less work life balance"",""Terrible pay, bad culture, boring work, not very nice collegaues""]","[""good salary"",""Supportive management and good projects to work on."",""Good enviroment and nice colleagues"",""Good work life balance compared to other consultancies"",""Good culture and a relaxing environment""]",,"[""Good benefits good pay and nice people"",""Benefits are good here, no complaints. "",""Benefits are terrific.  Long hours.  ""]"
"[""Some of the worst corporate culture."",""No cons everyone is great""]","[""Amazing culture, collaborative peers, corporate discount"",""Excellent work life balance very friendly environment"",""Great work life balance and benefits"",""Great compensation and benefits like having the last Friday of every month off""]","Our portfolio of benefits, programs and services is designed to make sure our employees are healthy and comfortable, while encouraging creativity inside and outside of the office. Here are a few of the highlights of working at Levi Strauss &amp; Co.:
EMPLOYEE BENEFITS

HEALTH AND FITNESS: LS&amp;Co. offers competitive benefit options and a flexible plan design. Employees can handpick medical, dental, vision and life insurance plans that are right for them.
APPAREL: Corporate employees receive a discount at all company owned- and-operated stores and e-commerce sites. They may also purchase Levi’s&reg;, Dockers&reg; and Signature by Levi Strauss &amp; Co.™ apparel at a significant discount at periodic sample sales.
TECHNOLOGY AND BUSINESS SERVICES: Employees are eligible for discounts with Apple, HP, Microsoft, Staples and AT&amp;T Wireless.

Please visit our External Careers Site for more information http://www.levistrauss.com/careers/#benefits ","[""The flexibility of the job, 401k, and time management"",""Levi's lives its values and offers generous benefits. They consistently offer financial classes, donation matching, women in leadership spotlight and 401k matching at a higher percent than most companies. They truly value their employees with ERG etc..."",""Flexible health insurance options to choose""]"
"[""Unsafe culture."",""No work life balance."",""lovely people but felt a bit clicky"",""Management is not trustworthy."",""Further leadership was not trustworthy.""]","[""Culture at Yotpo is amazing"",""Work/life balance was nice, I was never asked to work after normal hours or on weekends like alot of tech companies"",""Amazing people to work with, great product"",""Good management"",""Strong product and good leadership.""]",,"[""Benefits are solid, also have free lunch twice a week too...not amazing but good"",""Good options but limited in terms of offering"",""They hire good people at Yotpo""]"
"[""Management is angry all the time.""]","[""People I worked with were great, they ran the machines into the ground with no preventative maintenance and shut the machines down, thier efficiency is more important to them then machine health"",""LOVE IT ALL good money"",""Innovative environment, family atmosphere, positive growth potential."",""Not a lot of over time and will gain great experience working with all kinds of injection mold machines.""]",,"[""Good Benefits Health Insurance, Vision, Dental, as well as multiple other options available"",""Good benefits and experience training"",""Health insurance was expensive with high deductibles!""]"
"[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]",,"[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
"[""The culture is not good""]","[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]",,"[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
"[""And they would expect you to offer interior design services but with the low pay of a sales associate."",""DON’T COVER MANY THINGS AND HUGE OUT OF POCKET PREMIUMS CONFLICTING DIRECTIONS DUE TO POOR MANAGEMENT Avoid this company and Williams"",""Not people friendly, promote wrong people"",""No benefits for part time.""]","[""$24 hourly pay is competitive within the market, but was reduced from $25/hour during the pandemic."",""Great management and great place to work."",""Good people and company values."",""Benefits are great and the furniture is beautiful."",""The office is beautiful, inside and outside.""]",,"[""nothing. the job and perks were awesome"",""The employee discount is decent if you're into furniture and decor. At the time it was nearly 50% off. \n"",""Designer discount is nice to have.""]"
"[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]",,"[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
"[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]",,"[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
"[""bad management, no structure, cheaters in the game"",""This company offer absolutely no benefits for Full time workers."",""The upper management was useless."",""Good salary good discount for employees"",""Long busy hours during holidays, no weekends off unless booked for holiday, a lot expected for the salary""]","[""Benefit is good and work atmosphere and colleague is good"",""I guess I could say the salary is good and the staff discount is too""]",,"[""Best insurance benefits Ive ever had. "",""Best thing is the discount in the jewelry i work for corporate and the discount is HUGE!! You get items for less than $20 which is awesome "",""401k, paid time off, jewelry discount, health insurance""]"
"[""You get too much work life balance and no learning"",""Salary is low and performance is not rewarded"",""bad work culture"",""Less benefits are received."",""bad management forcing return to office""]","[""flexible and good work life balance"",""Good Salary and chill environment"",""Good work culture and policies"",""Good benefits and leave policy"",""good management and team.""]","We care about your health and happiness and we want you to be at your best. At Oracle, you’ll enjoy a competitive benefits package with a variety of customizable medical options, savings plans, and wellness programs.
We also don’t think your life should be on hold from Monday to Friday. Generous amounts of time off, flexible work options, and lots of fun employee activities are all an important part of leading a balanced a life.
Hear about flexibility from Leor, one of Oracle’s Karate Club black belts—and make sure to check out some reviews from our employees.","[""good perks, benefits in line with market, stock purchasing"",""Good average food nice !"",""Employees pay low cost for health benefits. ""]"
"[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","Citi makes a significant investment to provide valuable benefit programs for all employees around the world.  These include core health, insurance and retirement programs as well as supplementary programs.
Our global benefits philosophy requires that programs should deliver quality benefits and be simple to understand, to access and communicate. Our Live Well at Citi Global Health Strategy, offers best in class wellness programs, tools and resources to help employees lead healthier lives. We strive to inspire accountability, improve health and productivity while managing our healthcare costs. Our programs are designed to support Citi’s values and help to attract, motivate and retain a diverse workforce within a collaborative work environment.","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
"[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]",,"[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
"[""Benefits are expensive and increasing"",""Leadership is clueless as to what we do, how hard it is, and what our actual hourly rate is due to the incredibly long hours we always have to work.""]","[""Love my job and get to help people."",""Generous PTO"",""Direct support and management personnel, for the most part, try their best.""]","Financial Benefits:

Next-day pay for quick access to your earnings
Weekend, overnight, and holiday pay incentives to recognize your hard work
401(k) and Profit Sharing programs to help you plan for your financial future
Referral bonuses for bringing in new team members and making a difference together

Health and Wellness Benefits:

Comprehensive medical, dental, vision, disability, and life insurance coverage
Health Savings Account (HSA), Flexible Spending Account (FSA), and Dependent Care Account (DCA) options to help you manage healthcare expenses
Tobacco cessation program to promote a healthier lifestyle - Get paid to quit smoking!
Mental health support to prioritize your well-being

Professional Development Benefits:

Paid training and certifications to help you develop new skills and advance your career
Tuition, licensure, and certification reimbursement to support your ongoing professional development
Opportunities for career advancement and growth to help you achieve your professional goals

Time Off Benefits:

Paid holidays to celebrate with family and friends
Paid time off (PTO) to help you recharge and maintain work-life balance
Floating holiday to use when you need it, for those unexpected moments or important personal events

Other Benefits:

Mileage and activity reimbursement for work-related travel
Flexible scheduling to fit your availability and personal needs
Employee appreciation programs to recognize your contributions and efforts
","[""work from home option after 6 months of employment"",""Worst thing: NO contribution to the company profit sharing 401K plan in over 5 years or more. Non-competitive wages &amp; salaries comparative to other providers in the industry - we are one of the lowest paying employers in the industry. Yet, based on the reorganization of existing and addition of new senior director and finance dept. leadership positions (very top heavy \""senior leadership!\"") there clearly is profit being made for the owners."",""Horrible training. They are honestly just for the billable time and the money they get back.""]"
"[""Not much benefit for contractors"",""Not much learning opportunities and mixed working culture.""]","[""I work with fantastic people."",""Amazing culture, super nice and supportive team, great pay, great benefits, tons of perks, flexible WFH schedule."",""Nice cafeteria, clean environment, and good teammates and management.""]","Benefits that benefit everyone.
Building a career and having a life should never be mutually exclusive. That’s why we’ve got benefits programs to help you get the most out of your work and career, so you can live your best life.","[""Good benefit with health insurance"",""From onboarding to exit interviews, HR has a logical process in place to educate and inform of important details"",""Company offers allowance to lease Hyundai's vehicle. \nAllowance has different amount by position hierarchy.\nVery enjoyable and possible to change car every year. ""]"
"[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]",,"[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
"[""The scientists and associates were overworked and visibly stressed."",""The bonuses received only covered a fraction of the overtime/weekend work I was required to do.""]","[""Great people to work with"",""They offered generous paternal and maternal leave when I worked there, but I believe it has been limited since then."",""Uncapped pto, great management, minimal stress""]",,"[""Pairwise has a pretty flexible work schedule"",""Reasonable rates for benefits \nNo 401k match"",""No 401K match. Not unlimited FTO as reported in other reviews. It is an odd hybrid system. I guess they are saving resources by not tracking days and covering PTO. It is made clear that taking over 2 weeks off is frowned upon: need leadership approval. ""]"
"[""Less benefits compared to the rest of the competition ."",""cult like culture"",""The Salary isn't great at all.""]","[""good benefits"",""Competent Colleagues"",""Great growth and culture in the company"",""Decent Salary"",""Nice &amp; beautiful office""]","At Celonis, we want to empower Celonauts to stay at their best and enable personal and professional growth by supporting their physical, mental and financial wellbeing throughout their life journey, whilst also giving back to the wider community and planet Earth. We do this by providing a comprehensive benefits program and additional perks to all Celonauts (employees) in&nbsp;the United States.","[""401k, unlimited vacation \nLimited health insurance "",""truly spectacular paternity leave benefits"",""Medical insurance could be better for families, otherwise, pretty good perks""]"
"[""low compensation relative to the position"",""Unclear expectations by management."",""Competitive culture.""]","[""Good Networking and Learning experience"",""Great people to work with &amp; excellent benefits""]","AspenTech takes great pride in offering a premier level of benefits for all employees. We offer an array of plans and programs designed to assist our employees on a personalized levels.

Medical, vision and dental care plans
Dependent care and health care reimbursement programs
401(k) retirement plan with company match
Tuition reimbursement program
Life insurance
Accidental death and dismemberment insurance
Supplemental life insurance
Short-term disability
Long-term disability
Travel accident insurance
E-learning programs
","[""normal benefits package, good for start"",""Good health benefits. Vacation does not increase until you are here a decade. "",""Decent benefits, standard time off ""]"
"[""Pay is below market average and city's salary average."",""Toxic management, little to no training"",""This experience was very different from my past employment at UTHealth which I really enjoyed.""]","[""The benefits along with the job flexibility were good."",""Great people (plus or minus the usual \""special\"" more challenging people)"",""Flexibility Decent Pay Healthcare Benefits Supportive Team (every team is different)""]",,"[""Dental Plan worst Part, A lot of Paid Time Off a Plus "",""Everything was great and affordable."",""It was great and cool""]"
"[""Low Pay compaired to other universities"",""Isolated town, long dark winters, unreasonable working expectations, few benefits, little support"",""long hours with long commute"",""Supervisor disrespected me and limited opportunities for career growth.""]","[""Good pay, decent work life balance"",""Good research environment and benefits for staff"",""great people, views, resources, overall great"",""Not too stressful with flexible hours"",""Ample resources and opportunities.""]",,"[""Fertility benefits are amazing. Paid barely anything for IVF and other fertility related treatment. Aetna insurance. 22 weeks of parental leave once baby is here. Plus 4 weeks of leave prior to birth. "",""good stipend, housing, meal, travel reimbursement"",""Best: Premier Insurance, 2 weeks of annual paid leave\nWorst: Lower than industry salary""]"
"[""Long hours for supporting older systems.""]","[""Long hours."",""Good pay"",""Working with knowledgeable and sharp colleagues"",""I was given alot of autonomy to make decisions and engage in special projects that allowed me to grow my career."",""good medical benefits, nice working environment.""]",,"[""The best part is 401k."",""The best part is 401k."",""Regular benefits. Health insurance is not 100% covered""]"
"[""No work life balance and some difficult colleagues"",""Unrealistic expectations and bad culture"",""Bad benefits."",""Low pay and annoying regulatory hurdles"",""4. Terrible pressure, so attrition rate is very high, even high salary does not ensure good people to stay""]","[""Good Work Life balance and"",""Culture is good and relatively flat"",""Good benefits with a culture"",""Good pay and leaves"",""Great people and office location""]","Citi makes a significant investment to provide valuable benefit programs for all employees around the world.  These include core health, insurance and retirement programs as well as supplementary programs.
Our global benefits philosophy requires that programs should deliver quality benefits and be simple to understand, to access and communicate. Our Live Well at Citi Global Health Strategy, offers best in class wellness programs, tools and resources to help employees lead healthier lives. We strive to inspire accountability, improve health and productivity while managing our healthcare costs. Our programs are designed to support Citi’s values and help to attract, motivate and retain a diverse workforce within a collaborative work environment.","[""Healthcare is offered at higher price tag"",""Health insurance and PTO vacation "",""Vacation time was reasonable but did not like specific dates blocked""]"
"[""The culture is not good""]","[""Great people, willing to take on new ways of thinking to improve."",""The office is nice in mid boston"",""Company has good benefits."",""Good Pay""]",,"[""Great severance after many years of faithful service.\nInteresting changes coming to Haemo, stay tuned!"",""It's comparable to others out there."",""Average benefit for the company size""]"
"[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]",,"[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
"[""Pay is not good for position level"",""no benefits, overheads by company"",""NETFLIX culture seems amazing and friendly on the surface, but it's actually a little mean and cloaked in \""NETFLIX speech\"" and comportment."",""Failed keeping young and smart people."",""Senior leadership has so little work to do that they cause chaos and micromanage in order to justify their million dollar salaries.""]","[""The pay was good for entry level"",""Good benefits."",""Amazing culture and very diverse."",""Pays well, good people to work with"",""Good leadership""]",,"[""The benefits for health were amazing. "",""Incredibly comprehensive and supportive of me as a whole person"",""good experience as an intern""]"
"[""Your pay isn't much higher than those you mange."",""Poor work life balance, unrecognized contributions to team"",""Old building with need for renovation""]","[""Good salary, pay, and benefits"",""good pay, looks good on resume"",""Good People"",""Great work life balance and experience.""]",,"[""Excellent Benefits provided for full family medical, prescription, dental and eye care."",""Great 401K Match and company stock options"",""no pension plan available anymore""]"
"[""No work life balance at all"",""My manager was very inexperienced and at times rude."",""Toxic culture.""]","[""Work life balance is great"",""Good people to work with"",""25 days of PTO."",""Great values, generous PTO, laid back managers, brilliant colleagues."",""Good culture.""]",,"[""Lots of PTO and affordable healthcare"",""The vacation benefits are great."",""Great benefits!  Amazing PTO and ability to volunteer 5 days a year!!!""]"
"[""Work life balance is difficult at times"",""Benefits are average; hard to recruit and retain top performers"",""Can be low pay."",""Always churning and laying people off"",""Could have better management and organization.""]","[""Good work life balance and"",""Great benefits and flexibility with schedule."",""The pay is good."",""People are great"",""Good Management and good place to work""]","At UnitedHealth Group, your total health and well-being are important to us. That’s why we have comprehensive benefits and resources to help you be your best at work and at home. Some of the benefits that you and the ones you love will enjoy when you start a career with us include:

Health and well-being programs and services
Flexible work schedule and remote-friendly positions
Health, vision and dental benefits
HSA and FSA eligible plans
401(k) savings plan
Childcare benefits
Short-term/ long-term disability coverage
Basic life insurance and AD&amp;D
Employee stock purchase plan
Home office stipend for remote employees

Learn more","[""Stock options, health insurance, discounts "",""Sign-on bonus is good but 3-year contract is too long."",""The pto package is really well. 28 days based on salary grade and length of service.""]"
"[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]",,"[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
"[""Product Leadership has no boundaries or respect for typical work hours and will message employees at all hours of the day."",""It’s impossible to do a job well and meet expectations when there is so much change and micromanagement."",""Since then, everyone that could have provided mentorship to those around them were either fired or left because they were not being treated as kind as newer team members.""]","[""Within Product, leadership is making a material investment in teams and people which is really refreshing!"",""The people here have been so welcoming.""]",,"[""Benefits are up to industry standards"",""Average benefits package in line with the industry. Changed to unlimited PTO with very little notice which didn't allow all accrued time to be utilized."",""Great 401k match and competitive benefit premiums""]"
"[""Bad culture and terrible hours."",""The people weren't very smart....I would work elsewhere if you're considering IB"",""Long hours and weekend work"",""paid and not good pay increases from year to year low diversity""]","[""Great culture and a lot of deal flow"",""Great people to work with, and job offers lots of autonomy"",""Good pay and supportive environment"",""Great Senior Management""]",,"[""great employees very helpful and sweet. manager is great."",""401k, Cigna insurance, 20 PTO for junior/new joiner."",""pretty good deal and well structured plans""]"
"[""No work life balance in India"",""Some managers Will do Some partiality and contracts employees won’t get much benefit"",""Culture depends on team and management."",""Good people"",""Less exposure to the work environment and less pay""]","[""Work life balance is good"",""Good benefits overall and nice projects"",""Awesome organization and good culture"",""Good people to work with."",""life balance with good pay and benefits""]","We care about youWe believe a stronger signal to employees is providing benefits that support signature life moments—enhanced leave and “welcome back” initiatives when an employee returns from a period of absence, bereavement support, sabbatical, educational assistance, and adoption and fertility benefits. Here's a snapshot of what we offer:

Generous time off and enhanced leave for moments that matter
Enjoy a 4-week sabbatical after five years of employment
Purchase Adobe stock at 15% below fair market value by enrolling in ESPP
Feed your brain with educational reimbursement of $10,000 USD a year

For a full breakdown, check out http://benefits.adobe.com/ for current employee benefits in the US.","[""Sabbatical holiday for 1 month every five years"",""The benefits of Adobe are great including ESPP."",""Culture is very good! Would reccomend""]"
"[""IC PMs really bear the brunt of work here, as well as the blame for anything that isn't perfect, with very little accountability from the managers."",""Very very bad work culture and leadership.""]","[""Nice people Not a lot of politics"",""Competitive compensation"",""good benefits and pay and growth too""]",,"[""Good health insurance with 💯 covered for employees "",""Health insurance and quarterly wellness stipend are great."",""They offer great wellness benefits, including reimbursement of gym equipment.""]"
"[""Let people run their stations and make money."",""under management and no room for growth"",""Low pay, for a lot of work."",""There is no work life balance."",""no benefits""]","[""Good people to work with"",""Good management and nice work enviroment with experienced teammates."",""The pay is decent and the work isn't hard work as a supervisor."",""Work life balance is acceptable"",""Great coworkers and average benefits""]",,"[""Great bene's and current manager takes time to explain and teach."",""Typical benefits package offered by most firms"",""Benefits are really good but can get costly. ""]"
"[""Lots of dumb people work here too"",""The management there is awful."",""There is no mentorship or guidance for junior employees on how to chart a career there."",""Below average pay with minimal raises"",""Benefits could be better and inmproved.""]","[""Met some great people."",""Management takes an active role in personal development of workers by setting up development plans and investing in training classes."",""A lot of really sharp people and great mentorship and learning opportunities."",""The pay is better than most."",""Decent Benefits.""]",,"[""Crane offers benefits befitting similar company. "",""Pretty average corporate benefits package"",""Crane provides 401K matching as well as 8% unmatching contribution.""]"
"[""Low salary compared to private sector""]","["";Great Benefits and good people"",""Good benefits and union job and student loan forgiveness"",""good management and flexible hours no overtime""]",,"[""Great benefits. Dental and Vision insurance could be better "",""bureaucracy and wait for a long time to get the benefit "",""The pension is great but it's really only worth it if you work for 20+ years.""]"
"[""The management does produce great and efficient work but not very communicative to employee."",""working at ASD office: no new hire training whatsoever (be careful recent grads) lack of collaboration between offices core office:"",""There's a lack of transparency around finances including company and project health; it's not uncommon to not know your project's financial health until it's already woefully unprofitable.""]","[""Great 401K match"",""Good people.""]",,"[""Flexible and friendly work environment with remote half day Fridays year round. "",""Half-day Fridays and good work-life balance"",""Half day Fridays and good work-life balance""]"
"[""Leadership doesn’t care."",""Extremely high turn over rate.""]","[""Good leadership"",""Good coworkers"",""There is great advancement in the company, Many employees have been there 10, 20, 30, 40 years!!"",""Nice clients""]",,"[""One of the best in the business!"",""While I worked for Mt Olivet rolling acres, my coworker told me a client of mine was dragged my his neck by an overnight staff member which, according to my coworker, left bruising. When I asked my superior if the client's parent or Central Entry Point of had been contacted I was not given a straight answer. It was a month before I saw any action and weeks even later when they fired the overnight staff member.\r\n"",""PTO was fantastic. Not having sick days and having to use you're PTO was not so fantastic.""]"
"[""Low pay and little room for growth"",""There is no benefit to working here anymore under the current t administration"",""WAIT TOO MUCH BUREAUCRACY, CAN BE REALLY STRESSFUL""]","[""The benefits of public service jobs in NYC is free healthcare and pension plans."",""Work life balance is decent"",""life balance, great people""]",,"[""Great benefits. Dental and Vision insurance could be better "",""bureaucracy and wait for a long time to get the benefit "",""The pension is great but it's really only worth it if you work for 20+ years.""]"
